entidad,grupo,nombre,tipo,status,pais_codigo,estado_cve,municipio_cve,codigo_postal,colonia,nivel,capa_nivel,unidad,tipo_nombre,descripcion_desarrollo,descripcion_capa,descripcion_unidad,descripcion,altura,precio,area_m2,poligono,metadata,linea_nombre,familia_nombre,modelo_nombre,height,min_height,levels,metadata_color,metadata_unidad_plantas,metadata_unidad_estacionamiento,metadata_unidad_sala/comedor,metadata_unidad_cocina,metadata_unidad_patio_de_servicio,metadata_unidad_área_de_jardín,metadata_unidad_habitaciones,metadata_unidad_baños,metadata_unidad_m2_de_construcción,metadata_unidad_m2_de_terreno,metadata_unidad_tinaco,metadata_unidad_cisterna,metadata_unidad_construcción_de_ladrillo_rojo_recocido,metadata_unidad_construcción_de_block_de_concreto,metadata_unidad_muro_independiente,metadata_unidad_terraza,metadata_unidad_smart_house_kit,metadata_unidad_roof_garden,metadata_unidad_vestidor_recamara_principal
unidad,GT-ColoradoHills,Departamento 07,,disponible,MX,3,8,23405,Cerro Colorado,1,1,2G,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 2G,3,425500,140.36,"{""coordinates"": [[[-109.73788533132532, 23.002046877506462, 6], [-109.73803520704223, 23.001915477252318, 6], [-109.73809071119547, 23.001973341094995, 6], [-109.73794098960335, 23.002104469809645, 6], [-109.73788533132532, 23.002046877506462, 6]]], ""type"": ""Polygon""}",{},Venta,Residencial,Departamento View,3,3,1,,1,2,si,si,si,,3,2.5,121.72,140.36,si,si,si,,si,si,si,,si
unidad,GT-ColoradoHills,Departamento 08,,disponible,MX,3,8,23405,Cerro Colorado,1,1,2H,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 2H,3,421500,119.8,"{""coordinates"": [[[-109.73792925801384, 23.001870964016366, 6], [-109.73782642651277, 23.00175864037676, 6], [-109.73787841137819, 23.00171714239749, 6], [-109.73798223923421, 23.00182413870921, 6], [-109.73792925801384, 23.001870964016366, 6]]], ""type"": ""Polygon""}",{},Venta,Residencial,Departamento View,3,3,1,,1,2,si,si,si,,3,2.5,121.72,119.8,si,si,si,,si,si,si,,si
unidad,GT-ColoradoHills,Departamento 09,,disponible,MX,3,8,23405,Cerro Colorado,1,1,2I,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 2I,3,425500,140.36,"{""coordinates"": [[[-109.73787841137819, 23.00171714239749, 6], [-109.73793353040804, 23.001673142507546, 6], [-109.73803261955996, 23.00177930945603, 6], [-109.73805617237909, 23.001804544619386, 6], [-109.73800311043402, 23.00184564682356, 6], [-109.73798182040113, 23.001823707094836, 6], [-109.73787841137819, 23.00171714239749, 6]]], ""type"": ""Polygon""}",{},Venta,Residencial,Departamento View,3,3,1,,1,2,si,si,si,,3,2.5,121.72,140.36,si,si,si,,si,si,si,,si
unidad,GT-ColoradoHills,Departamento 10,,disponible,MX,3,8,23405,Cerro Colorado,1,1,2J,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 2J,3,421500,119.8,"{""coordinates"": [[[-109.7378138762617, 23.001972939507784, 6], [-109.73798223923421, 23.00182413870921, 6], [-109.73800311043402, 23.00184564682356, 6], [-109.73800056168866, 23.001847621101966, 6], [-109.7380260734044, 23.001871563095467, 6], [-109.73800733823816, 23.001886423641007, 6], [-109.73803520704223, 23.001915477252318, 6], [-109.73788533132532, 23.002046877506462, 6], [-109.7378138762617, 23.001972939507784, 6]]], ""type"": ""Polygon""}",{},Venta,Residencial,Departamento View,3,3,1,,1,2,si,si,si,,3,2.5,121.72,119.8,si,si,si,,si,si,si,,si
unidad,GT-ColoradoHills,Departamento 11,,disponible,MX,3,8,23405,Cerro Colorado,1,1,2K,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 2K,3,425500,140.36,"{""coordinates"": [[[-109.73778186590067, 23.001794211794397, 6], [-109.73788518800707, 23.00190991350805, 6], [-109.7378138762617, 23.001972939507784, 6], [-109.73770243132776, 23.001857622062627, 6], [-109.73778186590067, 23.001794211794397, 6]]], ""type"": ""Polygon""}",{},Venta,Residencial,Departamento View,3,3,1,,1,2,si,si,si,,3,2.5,121.72,140.36,si,si,si,,si,si,si,,si
unidad,GT-ColoradoHills,Departamento 12,,disponible,MX,3,8,23405,Cerro Colorado,1,1,2L,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 2L,3,421500,119.8,"{""coordinates"": [[[-109.73782642651277, 23.00175864037676, 6], [-109.73792925801384, 23.001870964016366, 6], [-109.73788518800707, 23.00190991350805, 6], [-109.73778186590067, 23.001794211794397, 6], [-109.73782642651277, 23.00175864037676, 6]]], ""type"": ""Polygon""}",{},Renta,Residencial,Departamento Sunset,3,3,1,,1,2,si,si,si,,3,2.5,121.72,119.8,si,si,si,,si,si,si,,si
capa,GT-ColoradoHills,Piso 2,vertical,disponible,MX,3,8,23405,Cerro Colorado,2,,,,,Descripción de la capa 2,,Descripción de la capa 2,3,,1800,"{""coordinates"": [[[-109.73834533444442, 23.002238789331948, 9], [-109.73819730979476, 23.002369696667127, 9], [-109.73770243132776, 23.001857622062627, 9], [-109.73800660095183, 23.001614812455365, 9], [-109.73813565901965, 23.001764136197533, 9], [-109.73808596289929, 23.001805647593276, 9], [-109.73807161580322, 23.00179258202036, 9], [-109.73800056168866, 23.001847621101966, 9], [-109.7380260734044, 23.001871563095467, 9], [-109.73800733823816, 23.001886423641007, 9], [-109.73834533444442, 23.002238789331948, 9]]], ""type"": ""Polygon""}",{},{},,,3,6,1,,,,,,,,,,,,,,,,,,,,
unidad,GT-ColoradoHills,Departamento 01,,disponible,MX,3,8,23405,Cerro Colorado,2,2,3A,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 3A,3,444700,140.36,"{""coordinates"": [[[-109.73805617237909, 23.001804544619386, 9], [-109.73793353040804, 23.001673142507546, 9], [-109.73800660095183, 23.001614812455365, 9], [-109.73813565901965, 23.001764136197533, 9], [-109.73808596289929, 23.001805647593276, 9], [-109.73807161580322, 23.00179258202036, 9], [-109.73805617237909, 23.001804544619386, 9]]], ""type"": ""Polygon""}",{},Venta,Residencial,Departamento Sunset,3,6,1,,1,2,si,si,si,,3,2.5,121.72,140.36,si,si,si,,si,si,si,,si
unidad,GT-ColoradoHills,Departamento 02,,disponible,MX,3,8,23405,Cerro Colorado,2,2,3B,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 3B,3,441100,119.8,"{""coordinates"": [[[-109.7381555510208, 23.0023264868508, 9], [-109.73830440605886, 23.002196120927437, 9], [-109.73834533444442, 23.002238789331948, 9], [-109.73819730979476, 23.002369696667127, 9], [-109.7381555510208, 23.0023264868508, 9]]], ""type"": ""Polygon""}",{},Venta,Residencial,Departamento View,3,6,1,,1,2,si,si,si,,3,2.5,121.72,119.8,si,si,si,,si,si,si,,si
unidad,GT-ColoradoHills,Departamento 03,,disponible,MX,3,8,23405,Cerro Colorado,2,2,3C,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 3C,3,444700,140.36,"{""coordinates"": [[[-109.73810152170938, 23.002270580117905, 9], [-109.73825038489092, 23.002139803117306, 9], [-109.73830440605886, 23.002196120927437, 9], [-109.7381555510208, 23.0023264868508, 9], [-109.73810152170938, 23.002270580117905, 9]]], ""type"": ""Polygon""}",{},Venta,Residencial,Departamento View,3,6,1,,1,2,si,si,si,,3,2.5,121.72,140.36,si,si,si,,si,si,si,,si
unidad,GT-ColoradoHills,Departamento 04,,disponible,MX,3,8,23405,Cerro Colorado,2,2,3D,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 3D,3,441100,119.8,"{""coordinates"": [[[-109.73804565831493, 23.00221277557088, 9], [-109.73819457450733, 23.002081620025283, 9], [-109.73825038489092, 23.002139803117306, 9], [-109.73810152170938, 23.002270580117905, 9], [-109.73804565831493, 23.00221277557088, 9]]], ""type"": ""Polygon""}",{},Venta,Residencial,Departamento View,3,6,1,,1,2,si,si,si,,3,2.5,121.72,119.8,si,si,si,,si,si,si,,si
unidad,GT-ColoradoHills,Departamento 05,,disponible,MX,3,8,23405,Cerro Colorado,2,2,3E,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 3E,3,444700,140.36,"{""coordinates"": [[[-109.73799373962656, 23.00215905280138, 9], [-109.73814258091014, 23.00202741598555, 9], [-109.73819457450733, 23.002081620025283, 9], [-109.73804565831493, 23.00221277557088, 9], [-109.73799373962656, 23.00215905280138, 9]]], ""type"": ""Polygon""}",{},Venta,Residencial,Departamento View,3,6,1,,1,2,si,si,si,,3,2.5,121.72,140.36,si,si,si,,si,si,si,,si
unidad,GT-ColoradoHills,Departamento 06,,disponible,MX,3,8,23405,Cerro Colorado,2,2,3F,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 3F,3,441100,119.8,"{""coordinates"": [[[-109.73794098960335, 23.002104469809645, 9], [-109.73809071119547, 23.001973341094995, 9], [-109.73814258091014, 23.00202741598555, 9], [-109.73799373962656, 23.00215905280138, 9], [-109.73794098960335, 23.002104469809645, 9]]], ""type"": ""Polygon""}",{},Venta,Residencial,Departamento View,3,6,1,,1,2,si,si,si,,3,2.5,121.72,119.8,si,si,si,,si,si,si,,si
unidad,GT-ColoradoHills,Departamento 07,,disponible,MX,3,8,23405,Cerro Colorado,2,2,3G,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 3G,3,444700,140.36,"{""coordinates"": [[[-109.73788533132532, 23.002046877506462, 9], [-109.73803520704223, 23.001915477252318, 9], [-109.73809071119547, 23.001973341094995, 9], [-109.73794098960335, 23.002104469809645, 9], [-109.73788533132532, 23.002046877506462, 9]]], ""type"": ""Polygon""}",{},Venta,Residencial,Departamento View,3,6,1,,1,2,si,si,si,,3,2.5,121.72,140.36,si,si,si,,si,si,si,,si
unidad,GT-ColoradoHills,Departamento 08,,disponible,MX,3,8,23405,Cerro Colorado,2,2,3H,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 3H,3,441100,119.8,"{""coordinates"": [[[-109.73792925801384, 23.001870964016366, 9], [-109.73782642651277, 23.00175864037676, 9], [-109.73787841137819, 23.00171714239749, 9], [-109.73798223923421, 23.00182413870921, 9], [-109.73792925801384, 23.001870964016366, 9]]], ""type"": ""Polygon""}",{},Venta,Residencial,Departamento View,3,6,1,,1,2,si,si,si,,3,2.5,121.72,119.8,si,si,si,,si,si,si,,si
unidad,GT-ColoradoHills,Departamento 09,,disponible,MX,3,8,23405,Cerro Colorado,2,2,3I,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 3I,3,444700,140.36,"{""coordinates"": [[[-109.73787841137819, 23.00171714239749, 9], [-109.73793353040804, 23.001673142507546, 9], [-109.73803261955996, 23.00177930945603, 9], [-109.73805617237909, 23.001804544619386, 9], [-109.73800311043402, 23.00184564682356, 9], [-109.73798182040113, 23.001823707094836, 9], [-109.73787841137819, 23.00171714239749, 9]]], ""type"": ""Polygon""}",{},Venta,Residencial,Departamento View,3,6,1,,1,2,si,si,si,,3,2.5,121.72,140.36,si,si,si,,si,si,si,,si
unidad,GT-ColoradoHills,Departamento 10,,disponible,MX,3,8,23405,Cerro Colorado,2,2,3J,departamento,,,"Departamento de lujo  con servicios de luz, drenaje, agua y comunicación",Descripción de la unidad 3J,3,441100,119.8,"{""coordinates"": [[[-109.7378138762617, 23.001972939507784, 9], [-109.73798223923421, 23.00182413870921, 9], [-109.73800311043402, 23.00184564682356, 9], [-109.73800056168866, 23.001847621101966, 9], [-109.7380260734044, 23.001871563095467, 9], [-109.73800733823816, 23.001886423641007, 9], [-109.73803520704223, 23.001915477252318, 9], [-109.73788533132532, 23.002046877506462, 9], [-109.7378138762617, 23.001972939507784, 9]]], ""type"": ""Polygon""}",{},Venta,Residencial,Departamento View,3,6,1,,1,2,si,si,si,,3,2.5,121.72,119.8,si,si,si,,si,si,si,,si
