parent_category_en,parent_category_es,type_code,type_name_en,type_name_es,added_2026_02_12,table,source_url
Entertainment and Recreation,Ocio y entretenimiento,cycling_park,Cycling Park,Parque para ciclismo,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,dance_hall,Dance Hall,Salón de baile,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,dog_park,Dog Park,Parque para perros,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,event_venue,Event Venue,Recinto para eventos,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,ferris_wheel,Ferris Wheel,Rueda de la fortuna,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,garden,Garden,Jardín,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,go_karting_venue,Go-karting Venue,Pista de go-karts,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,hiking_area,Hiking Area,Zona de senderismo,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,historical_landmark,Historical Landmark,Monumento histórico,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,indoor_playground,Indoor Playground,Área de juegos interior,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,internet_cafe,Internet Cafe,Cibercafé,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,karaoke,Karaoke,Karaoke,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,live_music_venue,Live Music Venue,Recinto de música en vivo,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,marina,Marina,Marina,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,miniature_golf_course,Miniature Golf Course,Campo de minigolf,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,movie_rental,Movie Rental,Alquiler de películas,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,movie_theater,Movie Theater,Cine,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,national_park,National Park,Parque nacional,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,night_club,Night Club,Club nocturno,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,observation_deck,Observation Deck,Mirador,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,off_roading_area,Off Roading Area,Zona para vehículos todoterreno,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,opera_house,Opera House,Teatro de ópera,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,paintball_center,Paintball Center,Centro de paintball,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,park,Park,Parque,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,philharmonic_hall,Philharmonic Hall,Sala filarmónica,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,picnic_ground,Picnic Ground,Área de pícnic,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,planetarium,Planetarium,Planetario,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,plaza,Plaza,Plaza,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,roller_coaster,Roller Coaster,Montaña rusa,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,skateboard_park,Skateboard Park,Parque de skate,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,state_park,State Park,Parque estatal,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,tourist_attraction,Tourist Attraction,Atracción turística,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,video_arcade,Video Arcade,Sala de videojuegos,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,vineyard,Vineyard,Viñedo,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,visitor_center,Visitor Center,Centro de visitantes,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,water_park,Water Park,Parque acuático,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,wedding_venue,Wedding Venue,Recinto para bodas,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,wildlife_park,Wildlife Park,Parque de vida silvestre,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,wildlife_refuge,Wildlife Refuge,Refugio de vida silvestre,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,zoo,Zoo,Zoológico,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Facilities,Instalaciones,public_bath,Public Bath,Baño público,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Facilities,Instalaciones,public_bathroom,Public Bathroom,Sanitario público,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Facilities,Instalaciones,stable,Stable,Establo,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Finance,Finanzas,accounting,Accounting,Contabilidad,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Finance,Finanzas,atm,ATM,Cajero automático,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Finance,Finanzas,bank,Bank,Banco,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,acai_shop,Açaí Shop,Tienda de açaí,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,afghani_restaurant,Afghani Restaurant,Restaurante afgano,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,african_restaurant,African Restaurant,Restaurante africano,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,american_restaurant,American Restaurant,Restaurante estadounidense,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,argentinian_restaurant,Argentinian Restaurant,Restaurante argentino,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,asian_fusion_restaurant,Asian Fusion Restaurant,Restaurante de fusión asiática,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,asian_restaurant,Asian Restaurant,Restaurante asiático,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,australian_restaurant,Australian Restaurant,Restaurante australiano,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,austrian_restaurant,Austrian Restaurant,Restaurante austriaco,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,bagel_shop,Bagel Shop,Tienda de bagels,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,bakery,Bakery,Panadería,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,bangladeshi_restaurant,Bangladeshi Restaurant,Restaurante bangladesí,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,bar,Bar,Bar,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,bar_and_grill,Bar and Grill,Bar y parrilla,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,barbecue_restaurant,Barbecue Restaurant,Restaurante de barbacoa,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,basque_restaurant,Basque Restaurant,Restaurante vasco,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,bavarian_restaurant,Bavarian Restaurant,Restaurante bávaro,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,beer_garden,Beer Garden,Jardín cervecero,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,belgian_restaurant,Belgian Restaurant,Restaurante belga,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,bistro,Bistro,Bistró,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,brazilian_restaurant,Brazilian Restaurant,Restaurante brasileño,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,breakfast_restaurant,Breakfast Restaurant,Restaurante de desayunos,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,brewery,Brewery,Cervecería,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,brewpub,Brewpub,Cervecería con pub,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,british_restaurant,British Restaurant,Restaurante británico,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,brunch_restaurant,Brunch Restaurant,Restaurante de brunch,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,buffet_restaurant,Buffet Restaurant,Restaurante buffet,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,burmese_restaurant,Burmese Restaurant,Restaurante birmano,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,burrito_restaurant,Burrito Restaurant,Restaurante de burritos,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,cafe,Cafe,Cafetería,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,cafeteria,Cafeteria,Cafetería,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,cajun_restaurant,Cajun Restaurant,Restaurante cajún,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,cake_shop,Cake Shop,Pastelería,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,californian_restaurant,Californian Restaurant,Restaurante californiano,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,cambodian_restaurant,Cambodian Restaurant,Restaurante camboyano,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,candy_store,Candy Store,Dulcería,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,cantonese_restaurant,Cantonese Restaurant,Restaurante cantonés,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,caribbean_restaurant,Caribbean Restaurant,Restaurante caribeño,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,cat_cafe,Cat Cafe,Café de gatos,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,chicken_restaurant,Chicken Restaurant,Restaurante de pollo,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,chicken_wings_restaurant,Chicken Wings Restaurant,Restaurante de alitas,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,chilean_restaurant,Chilean Restaurant,Restaurante chileno,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,chinese_noodle_restaurant,Chinese Noodle Restaurant,Restaurante de fideos chinos,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,chinese_restaurant,Chinese Restaurant,Restaurante chino,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,chocolate_factory,Chocolate Factory,Fábrica de chocolate,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,chocolate_shop,Chocolate Shop,Chocolatería,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,cocktail_bar,Cocktail Bar,Bar de cócteles,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,coffee_roastery,Coffee Roastery,Tostador de café,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,coffee_shop,Coffee Shop,Cafetería,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,coffee_stand,Coffee Stand,Puesto de café,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,colombian_restaurant,Colombian Restaurant,Restaurante colombiano,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,confectionery,Confectionery,Confitería,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,croatian_restaurant,Croatian Restaurant,Restaurante croata,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,cuban_restaurant,Cuban Restaurant,Restaurante cubano,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,czech_restaurant,Czech Restaurant,Restaurante checo,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,danish_restaurant,Danish Restaurant,Restaurante danés,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,deli,Deli,Delicatessen,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,dessert_restaurant,Dessert Restaurant,Restaurante de postres,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,dessert_shop,Dessert Shop,Tienda de postres,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,dim_sum_restaurant,Dim Sum Restaurant,Restaurante de dim sum,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,diner,Diner,Restaurante tipo diner,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,dog_cafe,Dog Cafe,Café de perros,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,donut_shop,Donut Shop,Tienda de donas,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,dumpling_restaurant,Dumpling Restaurant,Restaurante de dumplings,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,dutch_restaurant,Dutch Restaurant,Restaurante neerlandés,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,eastern_european_restaurant,Eastern European Restaurant,Restaurante de Europa del Este,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,ethiopian_restaurant,Ethiopian Restaurant,Restaurante etíope,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,european_restaurant,European Restaurant,Restaurante europeo,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,falafel_restaurant,Falafel Restaurant,Restaurante de falafel,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,family_restaurant,Family Restaurant,Restaurante familiar,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,fast_food_restaurant,Fast Food Restaurant,Restaurante de comida rápida,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,filipino_restaurant,Filipino Restaurant,Restaurante filipino,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,fine_dining_restaurant,Fine Dining Restaurant,Restaurante de alta cocina,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,fish_and_chips_restaurant,Fish And Chips Restaurant,Restaurante de fish and chips,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Food and Drink,Comidas y bebidas,fondue_restaurant,Fondue Restaurant,Restaurante de fondue,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
